Question	Answer	Confidence	Type	Timestamp
Where can I download Rocket.Chat desktop apps?	Download Rocket.Chat desktop apps from https://rocket.chat/download. Official apps are available for Windows (exe), macOS (dmg), and Linux (deb, rpm, snap). You can also download from the GitHub releases page.	1	FAQ	2025-05-22T11:12:48.407Z
How do I install Rocket.Chat on Windows?	1) Download the Windows installer (.exe) from rocket.chat/download, 2) Double-click the installer, 3) Follow the installation wizard, 4) Choose installation location and start menu preferences, 5) Launch the app and connect to your server.	1	FAQ	2025-05-22T11:12:49.233Z
How do I install Rocket.Chat on macOS?	1) Download the macOS disk image (.dmg) from rocket.chat/download, 2) Open the .dmg file, 3) Drag Rocket.Chat to your Applications folder, 4) Launch from Applications, 5) If needed, right-click and select Open to bypass Gatekeeper.	1	FAQ	2025-05-22T11:12:50.894Z
How do I install Rocket.Chat on Ubuntu?	You can install Rocket.Chat on Ubuntu using snap: 1) Open terminal, 2) Run 'sudo snap install rocketchat-server', 3) Wait for installation to complete, 4) Access via http://localhost:3000. Alternatively, use 'apt install rocketchat' if using the official repository.	1	FAQ	2025-05-22T11:12:51.492Z
How do I install Rocket.Chat mobile app on iOS?	1) Open the App Store on your iOS device, 2) Search for 'Rocket.Chat', 3) Look for the official app by Rocket.Chat, 4) Tap 'Get' or the download icon, 5) Authenticate with Face ID/Touch ID if required, 6) Open the app and connect to your server.	1	FAQ	2025-05-22T11:12:52.305Z
How do I install Rocket.Chat mobile app on Android?	1) Open Google Play Store, 2) Search for 'Rocket.Chat', 3) Select the official app by Rocket.Chat, 4) Tap 'Install', 5) Accept the permissions, 6) Wait for download and installation, 7) Open and connect to your server.	1	FAQ	2025-05-22T11:12:52.969Z
How do I deploy Rocket.Chat using Docker?	To deploy with Docker: 1) Install Docker, 2) Run 'docker pull rocket.chat', 3) Run 'docker run -p 3000:3000 rocket.chat'. For production, use docker-compose with MongoDB: create a docker-compose.yml file with both services and run 'docker-compose up -d'.	1	FAQ	2025-05-22T11:12:53.750Z
What are the minimum requirements for Rocket.Chat mobile apps?	Mobile apps require: iOS 11.0 or later for Apple devices, Android 5.0 (Lollipop) or later for Android devices. Stable internet connection recommended. Some features may require newer OS versions.	1	FAQ	2025-05-22T11:12:54.462Z
How do I update Rocket.Chat desktop app?	Desktop apps can auto-update: 1) Click 'Check for Updates' in app menu, 2) If available, click 'Download and Install'. Manual update: download latest version from rocket.chat/download and install over existing version. Settings are preserved.	1	FAQ	2025-05-22T11:12:55.248Z
Can I install multiple instances of Rocket.Chat?	Yes, you can run multiple instances by: 1) Using different ports for each instance, 2) Using Docker containers with different names/ports, 3) Using separate virtual machines, or 4) Using different subdomains in production.	1	FAQ	2025-05-22T11:12:55.902Z
How do I install Rocket.Chat on AWS?	Deploy on AWS: 1) Use AWS Marketplace for one-click deployment, 2) Launch EC2 instance with Rocket.Chat AMI, 3) Configure security groups for ports 3000/443, 4) Access via instance's public IP. Alternatively, use AWS ECS with Docker.	1	FAQ	2025-05-22T11:12:56.364Z
How do I install Rocket.Chat on DigitalOcean?	Deploy on DigitalOcean: 1) Use Marketplace 1-Click App, 2) Choose droplet size (minimum 2GB RAM), 3) Select datacenter region, 4) Add SSH keys, 5) Create droplet, 6) Access via droplet's IP address once installation completes.	1	FAQ	2025-05-22T11:12:56.760Z
What are common installation errors and solutions?	Common issues: 1) Port 3000 already in use - change port, 2) MongoDB connection fails - check MongoDB service, 3) Insufficient memory - increase RAM/swap, 4) Permission errors - run with sudo/correct permissions, 5) Network issues - check firewall settings.	1	FAQ	2025-05-22T11:12:57.193Z
How do I verify my Rocket.Chat installation?	Verify installation: 1) Check server is running (http://localhost:3000), 2) Create admin account, 3) Test basic features (messaging, file upload), 4) Check logs for errors, 5) Monitor system resources, 6) Test external access if needed.	1	FAQ	2025-05-22T11:12:57.664Z
how to make a group	The passage is relevant and answers the question.  To create a group (referred to as a "Team" in this context), follow these steps:  1. Click 'Teams' in the sidebar. 2. Click 'Create New'. 3. Enter your team name. 4. Choose your privacy settings. 5. Add members.  Is there anything else I can help you with regarding creating teams?	0.6540687680244446	User Query	2025-05-22T11:14:12.976Z
